1914:light_tank_equipment:                 gwtank.dds:
1918:infantry_equipment:                   infantry_equipment_0.dds:
1918:support_equipment:                    support_equipment_1.dds:
1934:amphibious_tank_equipment:            generic_amphibious_tank_1.dds:
1934:artillery_equipment:                  Art_1_axis.dds:
1934:heavy_tank_aa_equipment:              ger_basic_heavy_tank.dds:subtech_aa.dds
1934:heavy_tank_artillery_equipment:       ger_basic_heavy_tank.dds:subtech_art.dds
1934:heavy_tank_destroyer_equipment:       ger_basic_heavy_tank.dds:subtech_td.dds
1934:heavy_tank_equipment:                 ger_basic_heavy_tank.dds:
1934:light_tank_aa_equipment:              ger_basic_light_tank.dds:subtech_aa.dds
1934:light_tank_artillery_equipment:       ger_basic_light_tank.dds:subtech_art.dds
1934:light_tank_destroyer_equipment:       ger_basic_light_tank.dds:subtech_td.dds
1934:light_tank_equipment:                 ger_basic_light_tank.dds:
1936:anti_air_equipment:                   AA_1_allies.dds:
1936:anti_tank_equipment:                  AT_1_axis.dds:
1936:infantry_equipment:                   infantry1.dds:
1936:light_tank_aa_equipment:              ger_imp_light_tank.dds:subtech_aa.dds
1936:light_tank_artillery_equipment:       ger_imp_light_tank.dds:subtech_art.dds
1936:light_tank_destroyer_equipment:       ger_imp_light_tank.dds:subtech_td.dds
1936:light_tank_equipment:                 ger_imp_light_tank.dds:
1936:motorized_equipment:                  motorized_equipment_1.dds:
1939:amphibious_tank_equipment:            generic_amphibious_tank_1.dds:
1939:artillery_equipment:                  Art_2_axis.dds:
1939:infantry_equipment:                   infantry2.dds:
1939:medium_tank_aa_equipment:             ger_basic_main_tank.dds:subtech_aa.dds
1939:medium_tank_artillery_equipment:      ger_basic_main_tank.dds:subtech_art.dds
1939:medium_tank_destroyer_equipment:      ger_basic_main_tank.dds:subtech_td.dds
1939:medium_tank_equipment:                ger_basic_main_tank.dds:
1939:motorized_rocket_equipment:           motorized_rocket_unit.dds:
1940:amphibious_mechanized_equipment:      generic_amphibious_tank_1.dds:
1940:anti_air_equipment:                   AA_2_allies.dds:
1940:anti_tank_equipment:                  AT_2_axis.dds:
1940:mechanized_equipment:                 GER_mechanized_equipment_1.dds:
1940:rocket_artillery_equipment:           rocket_artillery_equipment.dds:
1941:heavy_tank_aa_equipment:              ger_imp_heavy_tank.dds:subtech_aa.dds
1941:heavy_tank_artillery_equipment:       ger_imp_heavy_tank.dds:subtech_art.dds
1941:heavy_tank_destroyer_equipment:       ger_imp_heavy_tank.dds:subtech_td.dds
1941:heavy_tank_equipment:                 ger_imp_heavy_tank.dds:
1941:light_tank_aa_equipment:              ger_adv_light_tank.dds:subtech_aa.dds
1941:light_tank_artillery_equipment:       ger_adv_light_tank.dds:subtech_art.dds
1941:light_tank_destroyer_equipment:       ger_adv_light_tank.dds:subtech_td.dds
1941:light_tank_equipment:                 ger_adv_light_tank.dds:
1941:medium_tank_aa_equipment:             ger_adv_main_tank.dds:subtech_aa.dds
1941:medium_tank_artillery_equipment:      ger_adv_main_tank.dds:subtech_art.dds
1941:medium_tank_destroyer_equipment:      ger_adv_main_tank.dds:subtech_td.dds
1941:medium_tank_equipment:                ger_adv_main_tank.dds:
1942:amphibious_mechanized_equipment:      generic_amphibious_mech_1.dds:
1942:artillery_equipment:                  Art_3_axis.dds:
1942:infantry_equipment:                   infantry3.dds:
1942:mechanized_equipment:                 GER_mechanized_equipment_2.dds:
1943:anti_air_equipment:                   AA_3_allies.dds:
1943:anti_tank_equipment:                  AT_3_axis.dds:
1943:heavy_tank_aa_equipment:              ger_adv_heavy_tank.dds:subtech_aa.dds
1943:heavy_tank_artillery_equipment:       ger_adv_heavy_tank.dds:subtech_art.dds
1943:heavy_tank_destroyer_equipment:       ger_adv_heavy_tank.dds:subtech_td.dds
1943:heavy_tank_equipment:                 ger_adv_heavy_tank.dds:
1943:medium_tank_aa_equipment:             ger_adv_main_tank.dds:subtech_aa.dds
1943:medium_tank_artillery_equipment:      ger_adv_main_tank.dds:subtech_art.dds
1943:medium_tank_destroyer_equipment:      ger_adv_main_tank.dds:subtech_td.dds
1943:medium_tank_equipment:                ger_adv_main_tank.dds:
1943:rocket_artillery_equipment:           rocket_artillery2.dds:
1943:super_heavy_tank_aa_equipment:        ger_superheavy_tank.dds:subtech_aa.dds
1943:super_heavy_tank_artillery_equipment: ger_superheavy_tank.dds:subtech_art.dds
1943:super_heavy_tank_destroyer_equipment: ger_superheavy_tank.dds:subtech_td.dds
1943:super_heavy_tank_equipment:           ger_superheavy_tank.dds:
1944:mechanized_equipment:                 GER_mechanized_equipment_3.dds:
1945:modern_tank_aa_equipment:             ger_main_battle_tank.dds:subtech_aa.dds
1945:modern_tank_artillery_equipment:      ger_main_battle_tank.dds:subtech_art.dds
1945:modern_tank_destroyer_equipment:      ger_main_battle_tank.dds:subtech_td.dds
1945:modern_tank_equipment:                ger_main_battle_tank.dds:
